what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1354672270100
locale,sysinfo,,,"zh_CN",1354672270100
processors,sysinfo,,,"4",1354672270100
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1354672270100
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1354672270100
java.specification.name,sysinfo,,,"Java Platform API Specification",1354672270100
java.specification.vendor,sysinfo,,,"Oracle Corporation",1354672270100
java.specification.version,sysinfo,,,"1.7",1354672270100
java.vendor,sysinfo,,,"Oracle Corporation",1354672270100
java.version,sysinfo,,,"1.7.0_02",1354672270100
java.vm.info,sysinfo,,,"mixed mode",1354672270100
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1354672270100
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1354672270100
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1354672270100
java.vm.specification.version,sysinfo,,,"1.7",1354672270100
java.vm.vendor,sysinfo,,,"Oracle Corporation",1354672270100
java.vm.version,sysinfo,,,"22.0-b10",1354672270100
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1354672270117
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1354672281142
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1354672281154
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1354672281180
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1354672287128
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354672291117
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1354672301501
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1354672301527
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1354672301586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354672307856
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354672310383
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1354672338136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354672338709
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1354672338963
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1354672338982
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1354672339155
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1354672339218
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1354672339340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354672351109
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1354672365005
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1354672365344
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1354672365467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354672366028
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1354672366087
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1354672367395
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1354672367537
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354672367600
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354672367771
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1354672368097
