what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444724703631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724716496
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1444724737508
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1444724737897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1444724740155
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1444724742928
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1444724752463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724752529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724755532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724756067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724758110
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1444724761026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724761043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724765006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724765225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724768159
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1444724771080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724771285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724773610
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1444724783428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724783640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724789372
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1444724791831
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1444724791940
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1444724792452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724801818
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444724801823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724825296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724826858
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444724826866
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1444724862708
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1444724862709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724863280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1444724867321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724875253
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444724875261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724886823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724890325
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444724890336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724895505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724908247
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444724908253
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724922007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724924240
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444724924249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724931367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724938918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724939579
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1444724940755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724940976
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724942127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724954489
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444724954501
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724990345
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724992980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444724999429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725007334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725008133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725011358
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725011365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725164247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725183672
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725183678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725188951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725194566
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725194572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725199156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725212211
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725212217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725212225
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725245872
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725245878
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725248252
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725249186
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725249193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725250836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725251889
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725251895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725252689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725266610
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725266625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725272053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725320271
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725320278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725390835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725396207
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725396216
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725398291
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725399334
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725399343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725400488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725401948
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725401955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725402756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725403684
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1444725403692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725443059
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1444725567942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725568154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725573602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725574521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725575857
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725578432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725586954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725592975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725595275
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725600683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725601729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725621485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725623315
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1444725623321
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1444725627720
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725632283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725643661
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1444725646684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725664408
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725664433
opened,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725664471
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1444725664472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.newWindow",1444725664482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725667257
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444725667342
