what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097434982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097435616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097444156
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1357097446917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097447401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097449367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097450678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097453822
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357097460493
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357097461784
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1357097479637
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097498328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097562477
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357097564076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097576000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097764830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097818853
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357097963822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357098005837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357098009045
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357098009305
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1357098009479
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1357098009786
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1357098009794
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1357098009815
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1357098009830
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1357098009842
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1357098009856
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1357098009856
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1357098009856
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1357098009877
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1357694762591
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1357694762592
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1357694762600
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1357694762622
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1357694762635
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1357694762644
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1357694762673
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1357694762705
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1357694762708
